Label ID,Print Job ID,IP Address,Verification Type,Passing Grade Threshold,Date,Time,Last Calibration Date,Label Numeric Grade,Label Grade,Label Status,Label Failure Reason,Barcode ID,Symbology,Version,Size,Numeric Grade,Grade,Overall Grade,Status,Scan Line Data Check,X Position (Pixel),Y Position (Pixel),Failure Reason,R Max,R Min,R Min Grade,EC Min,EC Min Grade,Symbol Contrast,Symbol Contrast Grade,Modulation,Modulation Grade,Reflectance Margin,Defects,Defects Grade,Decodability,Decodability Grade,Decode,Quiet Zone,Global Threshold,Print Contrast Signal,Bar Gain,Axial Nonuniformity,Axial Nonuniformity Grade,Grid Nonuniformity,Grid Nonuniformity Grade,Unused Error Correction,Unused Error Correction Grade,Fixed Pattern Damage,L1 (left of L finder),L2 (bottom of L finder),QZL1 (left quiet zone),QZL2 (bottom quiet zone),OCTASA (overall clock track and solid area),AG (average grade),Segment A1,Segment A2,Segment A3,Segment B1,Segment B2,Segment C,Format Info,Version Info,Contrast Uniformity,X Growth,Y Growth,MatrixSize,Data,Encoded Data
118,107,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:19,2023/10/05,0.0,F,Fail,Barcode verification fail,1,DATAMATRIX,,26.5,4.0,A,4.0 (A)/20/660,Pass,,256,248,,89.0%,7.4%,,,,81.5%,4.0,,4.0,4.0,,,,,4.0,,,,,0.5%,4.0,5.3%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,64.4%,6.6%,22.3%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
118,107,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:19,2023/10/05,0.0,F,Fail,Barcode verification fail,2,INT2OF5,,16.8,0.0,F,0.0 (F)/10/660,Fail,Pass,0,1625,Some scan lines failing quiet zone,87.1%,5.3%,4.0,68.0%,4.0,81.8%,4.0,83.2%,4.0,,5.6%,4.0,85.7%,4.0,4.0,0.0,46.2%,93.9%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
119,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:32,2023/10/05,0.0,F,Fail,Barcode verification fail,1,DATAMATRIX,,26.6,4.0,A,4.0 (A)/20/660,Pass,,256,248,,86.6%,7.4%,,,,79.2%,4.0,,4.0,4.0,,,,,4.0,,,,,0.1%,4.0,10.7%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,66.3%,8.0%,18.2%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
119,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:32,2023/10/05,0.0,F,Fail,Barcode verification fail,2,INT2OF5,,20.4,0.0,F,0.0 (F)/10/660,Fail,,0,1625,Not able to read barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:49,2023/10/05,0.0,F,Fail,Barcode verification fail,1,DATAMATRIX,,27.2,0.0,F,0.0 (F)/20/660,Fail,,256,248,Not able to read barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:21:49,2023/10/05,0.0,F,Fail,Barcode verification fail,2,INT2OF5,,16.6,4.0,A,4.0 (A)/10/660,Pass,Pass,0,1625,,87.7%,5.3%,4.0,69.9%,4.0,82.4%,4.0,84.9%,4.0,,3.5%,4.0,87.0%,4.0,4.0,4.0,46.5%,93.9%,6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
121,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:22:02,2023/10/05,4.0,A,Pass,,1,DATAMATRIX,,26.5,4.0,A,4.0 (A)/20/660,Pass,,256,248,,85.8%,7.4%,,,,78.4%,4.0,,4.0,4.0,,,,,4.0,,,,,0.4%,4.0,12.1%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,70.0%,8.0%,17.0%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
121,106,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:22:02,2023/10/05,4.0,A,Pass,,2,INT2OF5,,16.6,4.0,A,4.0 (A)/10/660,Pass,Pass,0,1625,,87.2%,5.1%,4.0,69.8%,4.0,82.0%,4.0,85.1%,4.0,,3.4%,4.0,87.9%,4.0,4.0,4.0,46.2%,94.0%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
122,107,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:22:07,2023/10/05,4.0,A,Pass,,1,DATAMATRIX,,26.5,4.0,A,4.0 (A)/20/660,Pass,,256,248,,87.0%,7.4%,,,,79.6%,4.0,,4.0,4.0,,,,,4.0,,,,,0.6%,4.0,16.7%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,68.9%,7.7%,17.4%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
122,107,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:22:07,2023/10/05,4.0,A,Pass,,2,INT2OF5,,16.6,4.0,A,4.0 (A)/10/660,Pass,Pass,0,1625,,88.0%,5.2%,4.0,69.8%,4.0,82.7%,4.0,84.4%,4.0,,3.2%,4.0,86.5%,4.0,4.0,4.0,46.6%,94.0%,6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
123,108,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:24:16,2023/10/05,4.0,A,Pass,,1,DATAMATRIX,,26.5,4.0,A,4.0 (A)/20/660,Pass,,256,248,,87.0%,7.8%,,,,79.2%,4.0,,4.0,4.0,,,,,4.0,,,,,1.0%,4.0,10.6%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,68.3%,6.9%,17.0%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
123,108,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:24:16,2023/10/05,4.0,A,Pass,,2,INT2OF5,,16.6,4.0,A,4.0 (A)/10/660,Pass,Pass,0,1625,,87.6%,5.7%,4.0,70.0%,4.0,81.9%,4.0,85.5%,4.0,,3.4%,4.0,86.2%,4.0,4.0,4.0,46.6%,93.5%,7.5%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
124,109,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:24:58,2023/10/05,4.0,A,Pass,,1,DATAMATRIX,,26.5,4.0,A,4.0 (A)/20/660,Pass,,256,248,,86.2%,8.2%,,,,78.0%,4.0,,4.0,4.0,,,,,4.0,,,,,0.6%,4.0,13.1%,4.0,100.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,71.3%,5.4%,16.6%,26x26,AI(240)30525049231309[0D][0A]AI(13)230831[0D][0A]23-08-31 (YY-MM-DD),,
124,109,192.168.1.16,ISO 15415/15416,1.5,2023/12/12,17:24:58,2023/10/05,4.0,A,Pass,,2,INT2OF5,,16.6,4.0,A,4.0 (A)/10/660,Pass,Pass,0,1625,,87.3%,5.5%,4.0,69.0%,4.0,81.7%,4.0,84.5%,4.0,,3.7%,4.0,85.6%,4.0,4.0,4.0,46.4%,93.6%,7.3%,,,,,,,,,,,,,,,,,,,,,,,,,,30525050,<Start>30525050<Stop>,
